_collected_at,airline,arrAirport,arrAirportEng,arrvAirportCode,codeshare,depAirport,depAirportCode,depAirportEng,estimateddatetime,fgenTime,fid,flightid,io,line,masterflightid,rmkKor,scheduledatetime,searchday
2026-09-21T14:10:27+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609190715,20260919235905,0000000000000012810164,KE1803,O,국내,,출발,202609190700,20260919
2026-09-21T14:10:27+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609190732,20260919235907,0000000000000012788232,OZ8803,O,국내,BX8803,출발,202609190720,20260919
2026-09-21T14:10:27+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609190732,20260919235906,0000000000000012788232,BX8803,O,국내,BX8803,출발,202609190720,20260919
2026-09-21T14:10:27+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609190818,20260919235904,0000000000000012824596,KE1807,O,국내,,출발,202609190805,20260919
2026-09-21T14:10:27+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609190915,20260919235906,0000000000000013131307,BX8807,O,국내,BX8807,출발,202609190905,20260919
2026-09-21T14:10:27+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609190915,20260919235907,0000000000000013131307,OZ8807,O,국내,BX8807,출발,202609190905,20260919
2026-09-21T14:10:27+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609191042,20260919235905,0000000000000012828196,KE1811,O,국내,,출발,202609191030,20260919
2026-09-21T14:10:27+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609191053,20260919235904,0000000000000012789042,BX8809,O,국내,BX8809,출발,202609191040,20260919
2026-09-21T14:10:27+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609191053,20260919235907,0000000000000012789042,OZ8809,O,국내,BX8809,출발,202609191040,20260919
2026-09-21T14:10:27+09:00,트리니티항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609191102,20260919235904,0000000000000013035790,TW923,O,국내,,출발,202609191050,20260919
