_collected_at,airline,arrAirport,arrAirportCode,arrAirportEng,arrvAirportCode,codeshare,depAirport,depAirportCode,depAirportEng,estimateddatetime,fgenTime,fid,flightid,io,line,masterflightid,rmkKor,scheduledatetime,searchday
2026-09-21T14:10:35+09:00,베트남항공,부산/김해,PUS,GIMHAE,,N,나트랑,CXR,NHA TRANG,202609200622,20260920235906,0000000000000013171979,VN434,I,국제,,도착,202609200605,20260920
2026-09-21T14:10:35+09:00,이스타항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609200603,20260920235906,0000000000000013143903,ZE988,I,국제,,도착,202609200605,20260920
2026-09-21T14:10:35+09:00,이스타항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609200608,20260920235906,0000000000000013143669,ZE984,I,국제,,도착,202609200610,20260920
2026-09-21T14:10:35+09:00,제주항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609200637,20260920235907,0000000000000012710332,7C6154,I,국제,,도착,202609200610,20260920
2026-09-21T14:10:35+09:00,진에어,부산/김해,PUS,GIMHAE,,N,괌,GUM,GUAM,202609200620,20260920235905,0000000000000012724776,LJ922,I,국제,,도착,202609200615,20260920
2026-09-21T14:10:35+09:00,진에어,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609200624,20260920235905,0000000000000012722248,LJ752,I,국제,,도착,202609200615,20260920
2026-09-21T14:10:35+09:00,트리니티항공,부산/김해,PUS,GIMHAE,,N,홍콩,HKG,HONG KONG,202609200616,20260920235906,0000000000000013115536,TW640,I,국제,,도착,202609200620,20260920
2026-09-21T14:10:35+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,나트랑,CXR,NHA TRANG,202609200633,20260920235905,0000000000000013176634,BX782,I,국제,,도착,202609200620,20260920
2026-09-21T14:10:35+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,방콕/수완나품,BKK,BANGKOK,202609200635,20260920235907,0000000000000013176529,BX726,I,국제,,도착,202609200620,20260920
2026-09-21T14:10:35+09:00,진에어,부산/김해,PUS,GIMHAE,,N,클락필드/클라크필드,CRK,CLARK FIELD,202609200629,20260920235904,0000000000000013157551,LJ066,I,국제,,도착,202609200625,20260920
2026-09-21T14:10:35+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,광저우,CAN,GUANGZHOU,202609200606,20260920235906,0000000000000013171850,BX3105,I,국제,,도착,202609200630,20260920
2026-09-21T14:10:35+09:00,대한항공,부산/김해,PUS,GIMHAE,,N,베이징(서우두)/서우두,PEK,BEIJING CAPITAL,202609200611,20260920235904,0000000000000012857733,KE2062,I,국제,,도착,202609200630,20260920
2026-09-21T14:10:35+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,시안,XIY,XIAN,202609200613,20260920235906,0000000000000013194625,BX342,I,국제,,도착,202609200630,20260920
2026-09-21T14:10:35+09:00,싱가포르항공,부산/김해,PUS,GIMHAE,,Y,싱가폴/싱가포르,SIN,SINGAPORE,202609200626,20260920235906,0000000000000013008676,SQ616,I,국제,SQ616,도착,202609200635,20260920
2026-09-21T14:10:35+09:00,아시아나항공,부산/김해,PUS,GIMHAE,,Y,싱가폴/싱가포르,SIN,SINGAPORE,202609200626,20260920235907,0000000000000013008676,OZ6786,I,국제,SQ616,도착,202609200635,20260920
2026-09-21T14:10:35+09:00,에어인디아,부산/김해,PUS,GIMHAE,,Y,싱가폴/싱가포르,SIN,SINGAPORE,202609200626,20260920235907,0000000000000013008676,AI8248,I,국제,SQ616,도착,202609200635,20260920
