_collected_at,airline,arrAirport,arrAirportCode,arrAirportEng,arrvAirportCode,codeshare,depAirport,depAirportCode,depAirportEng,estimateddatetime,fgenTime,fid,flightid,io,line,masterflightid,rmkKor,scheduledatetime,searchday
2026-09-19T22:18:18+09:00,베트남항공,부산/김해,PUS,GIMHAE,,N,나트랑,CXR,NHA TRANG,202609160614,20260916235906,0000000000000013171977,VN434,I,국제,,도착,202609160605,20260916
2026-09-19T22:18:18+09:00,이스타항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609160603,20260916235907,0000000000000013175989,ZE988,I,국제,,도착,202609160605,20260916
2026-09-19T22:18:18+09:00,이스타항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609160609,20260916235907,0000000000000013175995,ZE984,I,국제,,도착,202609160610,20260916
2026-09-19T22:18:18+09:00,제주항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609160618,20260916235904,0000000000000012710328,7C6154,I,국제,,도착,202609160610,20260916
2026-09-19T22:18:18+09:00,진에어,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609160629,20260916235907,0000000000000012722244,LJ752,I,국제,,도착,202609160615,20260916
2026-09-19T22:18:18+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,나트랑,CXR,NHA TRANG,202609160607,20260916235904,0000000000000013176631,BX782,I,국제,,도착,202609160620,20260916
2026-09-19T22:18:18+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,방콕/수완나품,BKK,BANGKOK,202609160623,20260916235907,0000000000000013176525,BX726,I,국제,,도착,202609160620,20260916
2026-09-19T22:18:18+09:00,트리니티항공,부산/김해,PUS,GIMHAE,,N,홍콩,HKG,HONG KONG,202609160612,20260916235907,0000000000000013115532,TW640,I,국제,,도착,202609160620,20260916
2026-09-19T22:18:18+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,울란바토르/칭기스칸,UBN,ULAANBAATAR,202609160627,20260916235906,0000000000000013175962,BX412,I,국제,,도착,202609160620,20260916
2026-09-19T22:18:18+09:00,대한항공,부산/김해,PUS,GIMHAE,,N,베이징(서우두)/서우두,PEK,BEIJING CAPITAL,202609160632,20260916235905,0000000000000012857729,KE2062,I,국제,,도착,202609160630,20260916
2026-09-19T22:18:18+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,마카오,MFM,MACAU,202609160621,20260916235904,0000000000000013194353,BX382,I,국제,,도착,202609160630,20260916
2026-09-19T22:18:18+09:00,비엣젯항공,부산/김해,PUS,GIMHAE,,N,다낭,DAD,DANANG,202609160637,20260916235907,0000000000000013080365,VJ988,I,국제,,도착,202609160640,20260916
2026-09-19T22:18:18+09:00,싱가포르항공,부산/김해,PUS,GIMHAE,,Y,싱가폴/싱가포르,SIN,SINGAPORE,202609160640,20260916235907,0000000000000013008445,SQ616,I,국제,SQ616,도착,202609160650,20260916
2026-09-19T22:18:18+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,세부,CEB,CEBU,202609160635,20260916235907,0000000000000013055038,BX712,I,국제,,도착,202609160655,20260916
2026-09-19T22:18:18+09:00,홍콩익스프레스,부산/김해,PUS,GIMHAE,,Y,홍콩,HKG,HONG KONG,202609160643,20260916235904,0000000000000013087627,UO604,I,국제,UO604,도착,202609160700,20260916
2026-09-19T22:18:18+09:00,캐세이퍼시픽항공,부산/김해,PUS,GIMHAE,,Y,홍콩,HKG,HONG KONG,202609160643,20260916235905,0000000000000013087627,CX5604,I,국제,UO604,도착,202609160700,20260916
2026-09-19T22:18:18+09:00,베트남항공,부산/김해,PUS,GIMHAE,,N,하노이,HAN,HANOI,202609160700,20260916235906,0000000000000013172164,VN428,I,국제,,도착,202609160705,20260916
2026-09-19T22:18:18+09:00,비엣젯항공,부산/김해,PUS,GIMHAE,,N,하노이,HAN,HANOI,202609160704,20260916235905,0000000000000013125111,VJ982,I,국제,,도착,202609160710,20260916
2026-09-19T22:18:18+09:00,진에어,부산/김해,PUS,GIMHAE,,N,다낭,DAD,DANANG,202609160718,20260916235906,0000000000000013135158,LJ112,I,국제,,도착,202609160715,20260916
2026-09-19T22:18:18+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,다낭,DAD,DANANG,202609160658,20260916235906,0000000000000013172117,BX774,I,국제,,도착,202609160720,20260916
2026-09-19T22:18:18+09:00,진에어,부산/김해,PUS,GIMHAE,,N,세부,CEB,CEBU,202609160715,20260916235905,0000000000000012724375,LJ062,I,국제,,도착,202609160725,20260916
2026-09-19T22:18:18+09:00,대한항공,부산/김해,PUS,GIMHAE,,Y,인천,ICN,INCHEON,202609160731,20260916235907,0000000000000012812259,KE1401,I,국제,KE1401,도착,202609160745,20260916
2026-09-19T22:18:18+09:00,델타항공,부산/김해,PUS,GIMHAE,,Y,인천,ICN,INCHEON,202609160731,20260916235905,0000000000000012812259,DL7855,I,국제,KE1401,도착,202609160745,20260916
2026-09-19T22:18:18+09:00,아시아나항공,부산/김해,PUS,GIMHAE,,Y,인천,ICN,INCHEON,202609160731,20260916235905,0000000000000012812259,OZ9781,I,국제,KE1401,도착,202609160745,20260916
2026-09-19T22:18:18+09:00,베트남항공,부산/김해,PUS,GIMHAE,,N,호치민/호찌민,SGN,HO CHI MINH,202609160741,20260916235907,0000000000000013172172,VN422,I,국제,,도착,202609160750,20260916
2026-09-19T22:18:18+09:00,대한항공,부산/김해,PUS,GIMHAE,,N,서울/김포,GMP,GIMPO,202609160750,20260916235907,0000000000000013165783,KE1803,I,국내,,도착,202609160805,20260916
2026-09-19T22:18:18+09:00,제주항공,부산/김해,PUS,GIMHAE,,N,싱가폴/싱가포르,SIN,SINGAPORE,202609160746,20260916235904,0000000000000013074776,7C2662,I,국제,,도착,202609160810,20260916
2026-09-19T22:18:18+09:00,아시아나항공,부산/김해,PUS,GIMHAE,,Y,서울/김포,GMP,GIMPO,202609160824,20260916235905,0000000000000012788231,OZ8803,I,국내,BX8803,도착,202609160830,20260916
2026-09-19T22:18:18+09:00,에어부산,부산/김해,PUS,GIMHAE,,Y,서울/김포,GMP,GIMPO,202609160824,20260916235906,0000000000000012788231,BX8803,I,국내,BX8803,도착,202609160830,20260916
2026-09-19T22:18:18+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,다낭,DAD,DANANG,202609160822,20260916235904,0000000000000013176131,BX7325,I,국제,,도착,202609160905,20260916
2026-09-19T22:18:18+09:00,대한항공,부산/김해,PUS,GIMHAE,,N,서울/김포,GMP,GIMPO,202609160858,20260916235907,0000000000000012824591,KE1807,I,국내,,도착,202609160910,20260916
2026-09-19T22:18:18+09:00,중화항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609160916,20260916235907,0000000000000012862172,CI190,I,국제,,도착,202609160930,20260916
