_collected_at,airline,arrAirport,arrAirportEng,arrvAirportCode,codeshare,depAirport,depAirportCode,depAirportEng,estimateddatetime,fgenTime,fid,flightid,io,line,masterflightid,rmkKor,scheduledatetime,searchday
2026-09-19T22:18:18+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609160708,20260916235904,0000000000000013165782,KE1803,O,국내,,출발,202609160700,20260916
2026-09-19T22:18:18+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609160738,20260916235905,0000000000000012788230,OZ8803,O,국내,BX8803,출발,202609160720,20260916
2026-09-19T22:18:18+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609160738,20260916235905,0000000000000012788230,BX8803,O,국내,BX8803,출발,202609160720,20260916
2026-09-19T22:18:18+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609160816,20260916235906,0000000000000012824590,KE1807,O,국내,,출발,202609160805,20260916
2026-09-19T22:18:18+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609160918,20260916235905,0000000000000013131301,OZ8807,O,국내,BX8807,출발,202609160905,20260916
2026-09-19T22:18:18+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609160918,20260916235907,0000000000000013131301,BX8807,O,국내,BX8807,출발,202609160905,20260916
2026-09-19T22:18:18+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609161044,20260916235904,0000000000000012828190,KE1811,O,국내,,출발,202609161030,20260916
2026-09-19T22:18:18+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609161102,20260916235905,0000000000000012789036,OZ8809,O,국내,BX8809,출발,202609161040,20260916
2026-09-19T22:18:18+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609161102,20260916235904,0000000000000012789036,BX8809,O,국내,BX8809,출발,202609161040,20260916
2026-09-19T22:18:18+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609161148,20260916235905,0000000000000012789456,OZ8811,O,국내,BX8811,출발,202609161140,20260916
