_collected_at,airline,arrAirport,arrAirportEng,arrvAirportCode,codeshare,depAirport,depAirportCode,depAirportEng,estimateddatetime,fgenTime,fid,flightid,io,line,masterflightid,rmkKor,scheduledatetime,searchday
2026-09-10T15:34:03+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609070715,20260907235903,0000000000000013162444,KE1803,O,국내,,출발,202609070700,20260907
2026-09-10T15:34:03+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609070736,20260907235906,0000000000000012787992,BX8803,O,국내,BX8803,출발,202609070720,20260907
2026-09-10T15:34:03+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609070736,20260907235905,0000000000000012787992,OZ8803,O,국내,BX8803,출발,202609070720,20260907
2026-09-10T15:34:03+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609070815,20260907235906,0000000000000012824572,KE1807,O,국내,,출발,202609070805,20260907
2026-09-10T15:34:03+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609070920,20260907235905,0000000000000013131283,OZ8807,O,국내,BX8807,출발,202609070905,20260907
2026-09-10T15:34:03+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609070920,20260907235905,0000000000000013131283,BX8807,O,국내,BX8807,출발,202609070905,20260907
2026-09-10T15:34:03+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609071047,20260907235905,0000000000000012828172,KE1811,O,국내,,출발,202609071030,20260907
2026-09-10T15:34:03+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609071052,20260907235906,0000000000000012789018,OZ8809,O,국내,BX8809,출발,202609071040,20260907
2026-09-10T15:34:03+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609071052,20260907235904,0000000000000012789018,BX8809,O,국내,BX8809,출발,202609071040,20260907
2026-09-10T15:34:03+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609071206,20260907235906,0000000000000012789438,OZ8811,O,국내,BX8811,출발,202609071140,20260907
2026-09-10T15:34:03+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609071206,20260907235903,0000000000000012789438,BX8811,O,국내,BX8811,출발,202609071140,20260907
2026-09-10T15:34:03+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609071254,20260907235906,0000000000000012789858,BX8813,O,국내,BX8813,출발,202609071240,20260907
2026-09-10T15:34:03+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609071254,20260907235905,0000000000000012789858,OZ8813,O,국내,BX8813,출발,202609071240,20260907
2026-09-10T15:34:03+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609071411,20260907235904,0000000000000013090315,KE1819,O,국내,,출발,202609071400,20260907
