_collected_at,airline,arrAirport,arrAirportCode,arrAirportEng,arrvAirportCode,codeshare,depAirport,depAirportCode,depAirportEng,estimateddatetime,fgenTime,fid,flightid,io,line,masterflightid,rmkKor,scheduledatetime,searchday
2026-09-16T12:06:05+09:00,이스타항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609150619,20260915235904,0000000000000013176034,ZE988,I,국제,,도착,202609150605,20260915
2026-09-16T12:06:05+09:00,베트남항공,부산/김해,PUS,GIMHAE,,N,나트랑,CXR,NHA TRANG,202609150616,20260915235905,0000000000000013171974,VN434,I,국제,,도착,202609150605,20260915
2026-09-16T12:06:05+09:00,제주항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609150606,20260915235904,0000000000000012710327,7C6154,I,국제,,도착,202609150610,20260915
2026-09-16T12:06:05+09:00,이스타항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609150603,20260915235904,0000000000000013143664,ZE984,I,국제,,도착,202609150610,20260915
2026-09-16T12:06:05+09:00,진에어,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609150608,20260915235905,0000000000000012722243,LJ752,I,국제,,도착,202609150615,20260915
2026-09-16T12:06:05+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,나트랑,CXR,NHA TRANG,202609150614,20260915235905,0000000000000013077175,BX782,I,국제,,도착,202609150620,20260915
2026-09-16T12:06:05+09:00,트리니티항공,부산/김해,PUS,GIMHAE,,N,홍콩,HKG,HONG KONG,202609150611,20260915235905,0000000000000013115531,TW640,I,국제,,도착,202609150620,20260915
2026-09-16T12:06:05+09:00,대한항공,부산/김해,PUS,GIMHAE,,N,베이징(서우두)/서우두,PEK,BEIJING CAPITAL,202609150624,20260915235906,0000000000000012857728,KE2062,I,국제,,도착,202609150630,20260915
2026-09-16T12:06:05+09:00,진에어,부산/김해,PUS,GIMHAE,,N,울란바토르/칭기스칸,UBN,ULAANBAATAR,202609150626,20260915235904,0000000000000013175816,LJ782,I,국제,,도착,202609150630,20260915
2026-09-16T12:06:05+09:00,싱가포르항공,부산/김해,PUS,GIMHAE,,Y,싱가폴/싱가포르,SIN,SINGAPORE,202609150628,20260915235905,0000000000000013008673,SQ616,I,국제,SQ616,도착,202609150635,20260915
2026-09-16T12:06:05+09:00,진에어,부산/김해,PUS,GIMHAE,,N,나트랑,CXR,NHA TRANG,202609150634,20260915235904,0000000000000013135248,LJ116,I,국제,,도착,202609150640,20260915
2026-09-16T12:06:05+09:00,비엣젯항공,부산/김해,PUS,GIMHAE,,N,푸꼭(푸국)/푸꾸옥,PQC,PHU QUOC AIRPORT,202609150622,20260915235907,0000000000000013170165,VJ968,I,국제,,도착,202609150640,20260915
2026-09-16T12:06:05+09:00,제주항공,부산/김해,PUS,GIMHAE,,N,상하이/푸동,PVG,PUDONG,202609150632,20260915235904,0000000000000012708133,7C8352,I,국제,,도착,202609150640,20260915
2026-09-16T12:06:05+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,다낭,DAD,DANANG,202609150642,20260915235906,0000000000000013163896,BX774,I,국제,,도착,202609150650,20260915
2026-09-16T12:06:05+09:00,비엣젯항공,부산/김해,PUS,GIMHAE,,N,호치민/호찌민,SGN,HO CHI MINH,202609150734,20260915235905,0000000000000013152259,VJ868,I,국제,,도착,202609150655,20260915
2026-09-16T12:06:05+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,세부,CEB,CEBU,202609150639,20260915235907,0000000000000013163765,BX712,I,국제,,도착,202609150655,20260915
2026-09-16T12:06:05+09:00,홍콩익스프레스,부산/김해,PUS,GIMHAE,,Y,홍콩,HKG,HONG KONG,202609150637,20260915235904,0000000000000013087626,UO604,I,국제,UO604,도착,202609150700,20260915
2026-09-16T12:06:05+09:00,캐세이퍼시픽항공,부산/김해,PUS,GIMHAE,,Y,홍콩,HKG,HONG KONG,202609150637,20260915235907,0000000000000013087626,CX5604,I,국제,UO604,도착,202609150700,20260915
2026-09-16T12:06:05+09:00,베트남항공,부산/김해,PUS,GIMHAE,,N,하노이,HAN,HANOI,202609150701,20260915235906,0000000000000012862904,VN428,I,국제,,도착,202609150705,20260915
2026-09-16T12:06:05+09:00,비엣젯항공,부산/김해,PUS,GIMHAE,,N,하노이,HAN,HANOI,202609150646,20260915235906,0000000000000013125110,VJ982,I,국제,,도착,202609150710,20260915
2026-09-16T12:06:05+09:00,진에어,부산/김해,PUS,GIMHAE,,N,다낭,DAD,DANANG,202609150727,20260915235906,0000000000000013135157,LJ112,I,국제,,도착,202609150715,20260915
2026-09-16T12:06:05+09:00,진에어,부산/김해,PUS,GIMHAE,,N,세부,CEB,CEBU,202609150719,20260915235906,0000000000000012724374,LJ062,I,국제,,도착,202609150725,20260915
2026-09-16T12:06:05+09:00,델타항공,부산/김해,PUS,GIMHAE,,Y,인천,ICN,INCHEON,202609150737,20260915235907,0000000000000012812257,DL7855,I,국제,KE1401,도착,202609150745,20260915
2026-09-16T12:06:05+09:00,아시아나항공,부산/김해,PUS,GIMHAE,,Y,인천,ICN,INCHEON,202609150737,20260915235907,0000000000000012812257,OZ9781,I,국제,KE1401,도착,202609150745,20260915
2026-09-16T12:06:05+09:00,대한항공,부산/김해,PUS,GIMHAE,,Y,인천,ICN,INCHEON,202609150737,20260915235904,0000000000000012812257,KE1401,I,국제,KE1401,도착,202609150745,20260915
2026-09-16T12:06:05+09:00,진에어,부산/김해,PUS,GIMHAE,,N,푸꼭(푸국)/푸꾸옥,PQC,PHU QUOC AIRPORT,202609150756,20260915235904,0000000000000013081592,LJ120,I,국제,,도착,202609150745,20260915
2026-09-16T12:06:05+09:00,베트남항공,부산/김해,PUS,GIMHAE,,N,호치민/호찌민,SGN,HO CHI MINH,202609151012,20260915235904,0000000000000013176850,VN422,I,국제,,도착,202609150750,20260915
