_collected_at,airline,arrAirport,arrAirportCode,arrAirportEng,arrvAirportCode,codeshare,depAirport,depAirportCode,depAirportEng,estimateddatetime,fgenTime,fid,flightid,io,line,masterflightid,rmkKor,scheduledatetime,searchday
2026-09-23T00:03:08+09:00,베트남항공,부산/김해,PUS,GIMHAE,,N,나트랑,CXR,NHA TRANG,202609220614,20260922235904,0000000000000013171983,VN434,I,국제,,도착,202609220605,20260922
2026-09-23T00:03:08+09:00,이스타항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609220603,20260922235903,0000000000000013144016,ZE988,I,국제,,도착,202609220605,20260922
2026-09-23T00:03:08+09:00,이스타항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609220605,20260922235903,0000000000000013143671,ZE984,I,국제,,도착,202609220610,20260922
2026-09-23T00:03:08+09:00,제주항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609220611,20260922235904,0000000000000012710334,7C6154,I,국제,,도착,202609220610,20260922
2026-09-23T00:03:08+09:00,진에어,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609220608,20260922235903,0000000000000012722250,LJ752,I,국제,,도착,202609220615,20260922
2026-09-23T00:03:08+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,나트랑,CXR,NHA TRANG,202609220648,20260922235903,0000000000000013164064,BX782,I,국제,,도착,202609220620,20260922
2026-09-23T00:03:08+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,방콕/수완나품,BKK,BANGKOK,202609220620,20260922235904,0000000000000013176531,BX726,I,국제,,도착,202609220620,20260922
2026-09-23T00:03:08+09:00,트리니티항공,부산/김해,PUS,GIMHAE,,N,홍콩,HKG,HONG KONG,202609220625,20260922235903,0000000000000013115538,TW640,I,국제,,도착,202609220620,20260922
2026-09-23T00:03:08+09:00,대한항공,부산/김해,PUS,GIMHAE,,N,베이징(서우두)/서우두,PEK,BEIJING CAPITAL,202609220629,20260922235906,0000000000000012857734,KE2062,I,국제,,도착,202609220630,20260922
2026-09-23T00:03:08+09:00,진에어,부산/김해,PUS,GIMHAE,,N,울란바토르/칭기스칸,UBN,ULAANBAATAR,202609220622,20260922235904,0000000000000013195957,LJ782,I,국제,,도착,202609220630,20260922
2026-09-23T00:03:08+09:00,싱가포르항공,부산/김해,PUS,GIMHAE,,Y,싱가폴/싱가포르,SIN,SINGAPORE,202609220634,20260922235904,0000000000000013008677,SQ616,I,국제,SQ616,도착,202609220635,20260922
2026-09-23T00:03:08+09:00,제주항공,부산/김해,PUS,GIMHAE,,N,상하이/푸동,PVG,PUDONG,202609220631,20260922235904,0000000000000012708135,7C8352,I,국제,,도착,202609220640,20260922
2026-09-23T00:03:08+09:00,진에어,부산/김해,PUS,GIMHAE,,N,나트랑,CXR,NHA TRANG,202609220706,20260922235905,0000000000000013135252,LJ116,I,국제,,도착,202609220640,20260922
2026-09-23T00:03:08+09:00,비엣젯항공,부산/김해,PUS,GIMHAE,,N,푸꼭(푸국)/푸꾸옥,PQC,PHU QUOC AIRPORT,202609220617,20260922235906,0000000000000013170169,VJ968,I,국제,,도착,202609220640,20260922
2026-09-23T00:03:08+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,다낭,DAD,DANANG,202609220642,20260922235905,0000000000000013163897,BX774,I,국제,,도착,202609220650,20260922
2026-09-23T00:03:08+09:00,비엣젯항공,부산/김해,PUS,GIMHAE,,N,호치민/호찌민,SGN,HO CHI MINH,202609220742,20260922235906,0000000000000013152266,VJ868,I,국제,,도착,202609220655,20260922
2026-09-23T00:03:08+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,세부,CEB,CEBU,202609220637,20260922235905,0000000000000013163117,BX712,I,국제,,도착,202609220655,20260922
2026-09-23T00:03:08+09:00,캐세이퍼시픽항공,부산/김해,PUS,GIMHAE,,Y,홍콩,HKG,HONG KONG,202609220639,20260922235907,0000000000000013087631,CX5604,I,국제,UO604,도착,202609220700,20260922
