_collected_at,airline,arrAirport,arrAirportCode,arrAirportEng,arrvAirportCode,codeshare,depAirport,depAirportCode,depAirportEng,estimateddatetime,fgenTime,fid,flightid,io,line,masterflightid,rmkKor,scheduledatetime,searchday
2026-09-19T22:18:24+09:00,이스타항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609170602,20260917235906,0000000000000013143851,ZE988,I,국제,,도착,202609170605,20260917
2026-09-19T22:18:24+09:00,베트남항공,부산/김해,PUS,GIMHAE,,N,나트랑,CXR,NHA TRANG,202609170616,20260917235906,0000000000000012863804,VN434,I,국제,,도착,202609170605,20260917
2026-09-19T22:18:24+09:00,제주항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609170619,20260917235905,0000000000000012710329,7C6154,I,국제,,도착,202609170610,20260917
2026-09-19T22:18:24+09:00,이스타항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609170605,20260917235906,0000000000000013143666,ZE984,I,국제,,도착,202609170610,20260917
2026-09-19T22:18:24+09:00,진에어,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609170607,20260917235906,0000000000000012722245,LJ752,I,국제,,도착,202609170615,20260917
2026-09-19T22:18:24+09:00,진에어,부산/김해,PUS,GIMHAE,,N,괌,GUM,GUAM,202609170614,20260917235906,0000000000000012724774,LJ922,I,국제,,도착,202609170615,20260917
2026-09-19T22:18:24+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,나트랑,CXR,NHA TRANG,202609170627,20260917235907,0000000000000013176632,BX782,I,국제,,도착,202609170620,20260917
2026-09-19T22:18:24+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,방콕/수완나품,BKK,BANGKOK,202609170634,20260917235906,0000000000000013176526,BX726,I,국제,,도착,202609170620,20260917
2026-09-19T22:18:24+09:00,트리니티항공,부산/김해,PUS,GIMHAE,,N,홍콩,HKG,HONG KONG,202609170622,20260917235906,0000000000000013115533,TW640,I,국제,,도착,202609170620,20260917
2026-09-19T22:18:24+09:00,진에어,부산/김해,PUS,GIMHAE,,N,클락필드/클라크필드,CRK,CLARK FIELD,202609170625,20260917235905,0000000000000013157549,LJ066,I,국제,,도착,202609170625,20260917
2026-09-19T22:18:24+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,광저우,CAN,GUANGZHOU,202609170611,20260917235906,0000000000000013171835,BX3105,I,국제,,도착,202609170630,20260917
2026-09-19T22:18:24+09:00,대한항공,부산/김해,PUS,GIMHAE,,N,베이징(서우두)/서우두,PEK,BEIJING CAPITAL,202609170629,20260917235905,0000000000000012857730,KE2062,I,국제,,도착,202609170630,20260917
2026-09-19T22:18:24+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,시안,XIY,XIAN,202609170632,20260917235906,0000000000000013194624,BX342,I,국제,,도착,202609170630,20260917
2026-09-19T22:18:24+09:00,싱가포르항공,부산/김해,PUS,GIMHAE,,Y,싱가폴/싱가포르,SIN,SINGAPORE,202609170641,20260917235906,0000000000000013008674,SQ616,I,국제,SQ616,도착,202609170635,20260917
2026-09-19T22:18:24+09:00,버진오스트레일리아항공,부산/김해,PUS,GIMHAE,,Y,싱가폴/싱가포르,SIN,SINGAPORE,202609170641,20260917235907,0000000000000013008674,VA5846,I,국제,SQ616,도착,202609170635,20260917
2026-09-19T22:18:24+09:00,에어인디아,부산/김해,PUS,GIMHAE,,Y,싱가폴/싱가포르,SIN,SINGAPORE,202609170641,20260917235907,0000000000000013008674,AI8248,I,국제,SQ616,도착,202609170635,20260917
2026-09-19T22:18:24+09:00,아시아나항공,부산/김해,PUS,GIMHAE,,Y,싱가폴/싱가포르,SIN,SINGAPORE,202609170641,20260917235907,0000000000000013008674,OZ6786,I,국제,SQ616,도착,202609170635,20260917
2026-09-19T22:18:24+09:00,제주항공,부산/김해,PUS,GIMHAE,,N,상하이/푸동,PVG,PUDONG,202609170647,20260917235905,0000000000000012708252,7C8352,I,국제,,도착,202609170640,20260917
2026-09-19T22:18:24+09:00,진에어,부산/김해,PUS,GIMHAE,,N,나트랑,CXR,NHA TRANG,202609170644,20260917235904,0000000000000013135249,LJ116,I,국제,,도착,202609170640,20260917
2026-09-19T22:18:24+09:00,비엣젯항공,부산/김해,PUS,GIMHAE,,N,푸꼭(푸국)/푸꾸옥,PQC,PHU QUOC AIRPORT,202609170637,20260917235904,0000000000000013170166,VJ968,I,국제,,도착,202609170640,20260917
