_collected_at,airline,arrAirport,arrAirportEng,arrvAirportCode,codeshare,depAirport,depAirportCode,depAirportEng,estimateddatetime,fgenTime,fid,flightid,io,line,masterflightid,rmkKor,scheduledatetime,searchday
2026-09-22T23:52:41+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609210709,20260921235903,0000000000000012810168,KE1803,O,국내,,출발,202609210700,20260921
2026-09-22T23:52:41+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609210735,20260921235906,0000000000000012788004,OZ8803,O,국내,BX8803,출발,202609210720,20260921
2026-09-22T23:52:41+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609210735,20260921235906,0000000000000012788004,BX8803,O,국내,BX8803,출발,202609210720,20260921
2026-09-22T23:52:41+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609210814,20260921235905,0000000000000012824600,KE1807,O,국내,,출발,202609210805,20260921
2026-09-22T23:52:41+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609210916,20260921235907,0000000000000013131311,OZ8807,O,국내,BX8807,출발,202609210905,20260921
2026-09-22T23:52:41+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609210916,20260921235905,0000000000000013131311,BX8807,O,국내,BX8807,출발,202609210905,20260921
2026-09-22T23:52:41+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609211048,20260921235904,0000000000000012828200,KE1811,O,국내,,출발,202609211030,20260921
2026-09-22T23:52:41+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609211059,20260921235904,0000000000000012789046,BX8809,O,국내,BX8809,출발,202609211040,20260921
2026-09-22T23:52:41+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609211059,20260921235907,0000000000000012789046,OZ8809,O,국내,BX8809,출발,202609211040,20260921
2026-09-22T23:52:41+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609211202,20260921235903,0000000000000012789466,BX8811,O,국내,BX8811,출발,202609211140,20260921
