_collected_at,airline,arrAirport,arrAirportCode,arrAirportEng,arrvAirportCode,codeshare,depAirport,depAirportCode,depAirportEng,estimateddatetime,fgenTime,fid,flightid,io,line,masterflightid,rmkKor,scheduledatetime,searchday
2026-09-10T14:22:32+09:00,베트남항공,부산/김해,PUS,GIMHAE,,N,나트랑,CXR,NHA TRANG,202609070616,20260907235907,0000000000000013172003,VN434,I,국제,,도착,202609070605,20260907
2026-09-10T14:22:32+09:00,이스타항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609070602,20260907235904,0000000000000013143835,ZE988,I,국제,,도착,202609070605,20260907
2026-09-10T14:22:32+09:00,제주항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609070622,20260907235905,0000000000000012710319,7C6154,I,국제,,도착,202609070610,20260907
2026-09-10T14:22:32+09:00,이스타항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609070605,20260907235904,0000000000000013143656,ZE984,I,국제,,도착,202609070610,20260907
2026-09-10T14:22:32+09:00,진에어,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609070611,20260907235903,0000000000000012722235,LJ752,I,국제,,도착,202609070615,20260907
2026-09-10T14:22:32+09:00,진에어,부산/김해,PUS,GIMHAE,,N,괌,GUM,GUAM,202609070628,20260907235906,0000000000000012724762,LJ922,I,국제,,도착,202609070615,20260907
2026-09-10T14:22:32+09:00,이스타항공,부산/김해,PUS,GIMHAE,,N,치앙마이,CNX,CHIANG MAI,202609070644,20260907235906,0000000000000013172301,ZE918,I,국제,,도착,202609070615,20260907
2026-09-10T14:22:32+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,나트랑,CXR,NHA TRANG,202609070653,20260907235903,0000000000000013126413,BX782,I,국제,,도착,202609070620,20260907
2026-09-10T14:22:32+09:00,트리니티항공,부산/김해,PUS,GIMHAE,,N,홍콩,HKG,HONG KONG,202609070608,20260907235904,0000000000000013115523,TW640,I,국제,,도착,202609070620,20260907
2026-09-10T14:22:32+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,괌,GUM,GUAM,202609070620,20260907235904,0000000000000013164236,BX613,I,국제,,도착,202609070620,20260907
2026-09-10T14:22:32+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,방콕/수완나품,BKK,BANGKOK,202609070633,20260907235907,0000000000000013165207,BX726,I,국제,,도착,202609070620,20260907
2026-09-10T14:22:32+09:00,진에어,부산/김해,PUS,GIMHAE,,N,클락필드/클라크필드,CRK,CLARK FIELD,202609070650,20260907235905,0000000000000013157544,LJ066,I,국제,,도착,202609070625,20260907
2026-09-10T14:22:32+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,마카오,MFM,MACAU,202609070625,20260907235905,0000000000000013119288,BX382,I,국제,,도착,202609070630,20260907
2026-09-10T14:22:32+09:00,비엣젯항공,부산/김해,PUS,GIMHAE,,N,푸꼭(푸국)/푸꾸옥,PQC,PHU QUOC AIRPORT,202609070614,20260907235905,0000000000000013170160,VJ968,I,국제,,도착,202609070640,20260907
2026-09-10T14:22:32+09:00,제주항공,부산/김해,PUS,GIMHAE,,N,상하이/푸동,PVG,PUDONG,202609070636,20260907235905,0000000000000012708130,7C8352,I,국제,,도착,202609070640,20260907
2026-09-10T14:22:32+09:00,싱가포르항공,부산/김해,PUS,GIMHAE,,Y,싱가폴/싱가포르,SIN,SINGAPORE,202609070638,20260907235904,0000000000000013008441,SQ616,I,국제,SQ616,도착,202609070650,20260907
2026-09-10T14:22:32+09:00,제주항공,부산/김해,PUS,GIMHAE,,N,울란바토르/칭기스칸,UBN,ULAANBAATAR,202609070641,20260907235905,0000000000000013174205,7C5258,I,국제,,도착,202609070650,20260907
