_collected_at,airline,arrAirport,arrAirportEng,arrvAirportCode,codeshare,depAirport,depAirportCode,depAirportEng,estimateddatetime,fgenTime,fid,flightid,io,line,masterflightid,rmkKor,scheduledatetime,searchday
2026-09-16T12:05:52+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609130715,20260913235905,0000000000000012810152,KE1803,O,국내,,출발,202609130700,20260913
2026-09-16T12:05:52+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609130739,20260913235908,0000000000000012788226,BX8803,O,국내,BX8803,출발,202609130720,20260913
2026-09-16T12:05:52+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609130739,20260913235908,0000000000000012788226,OZ8803,O,국내,BX8803,출발,202609130720,20260913
2026-09-16T12:05:52+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609130926,20260913235907,0000000000000012824584,KE1807,O,국내,,출발,202609130805,20260913
2026-09-16T12:05:52+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609130918,20260913235905,0000000000000013131295,BX8807,O,국내,BX8807,출발,202609130905,20260913
2026-09-16T12:05:52+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609130918,20260913235905,0000000000000013131295,OZ8807,O,국내,BX8807,출발,202609130905,20260913
2026-09-16T12:05:52+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609131040,20260913235906,0000000000000012828184,KE1811,O,국내,,출발,202609131030,20260913
2026-09-16T12:05:52+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609131049,20260913235904,0000000000000012789030,OZ8809,O,국내,BX8809,출발,202609131040,20260913
2026-09-16T12:05:52+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609131049,20260913235906,0000000000000012789030,BX8809,O,국내,BX8809,출발,202609131040,20260913
2026-09-16T12:05:52+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609131149,20260913235904,0000000000000012789450,OZ8811,O,국내,BX8811,출발,202609131140,20260913
2026-09-16T12:05:52+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609131149,20260913235905,0000000000000012789450,BX8811,O,국내,BX8811,출발,202609131140,20260913
2026-09-16T12:05:52+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609131247,20260913235904,0000000000000012789870,OZ8813,O,국내,BX8813,출발,202609131240,20260913
2026-09-16T12:05:52+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609131247,20260913235907,0000000000000012789870,BX8813,O,국내,BX8813,출발,202609131240,20260913
2026-09-16T12:05:52+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609131413,20260913235907,0000000000000013090327,KE1819,O,국내,,출발,202609131400,20260913
2026-09-16T12:05:52+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609131430,20260913235904,0000000000000013121666,BX8817,O,국내,BX8817,출발,202609131420,20260913
2026-09-16T12:05:52+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609131430,20260913235904,0000000000000013121666,OZ8817,O,국내,BX8817,출발,202609131420,20260913
