_collected_at,airline,arrAirport,arrAirportEng,arrvAirportCode,codeshare,depAirport,depAirportCode,depAirportEng,estimateddatetime,fgenTime,fid,flightid,io,line,masterflightid,rmkKor,scheduledatetime,searchday
2026-09-16T12:05:58+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609140714,20260914235906,0000000000000012810154,KE1803,O,국내,,출발,202609140700,20260914
2026-09-16T12:05:58+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609140736,20260914235905,0000000000000012787998,OZ8803,O,국내,BX8803,출발,202609140720,20260914
2026-09-16T12:05:58+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609140736,20260914235905,0000000000000012787998,BX8803,O,국내,BX8803,출발,202609140720,20260914
2026-09-16T12:05:58+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609140815,20260914235906,0000000000000012824586,KE1807,O,국내,,출발,202609140805,20260914
2026-09-16T12:05:58+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609140915,20260914235904,0000000000000013131297,OZ8807,O,국내,BX8807,출발,202609140905,20260914
2026-09-16T12:05:58+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609140915,20260914235905,0000000000000013131297,BX8807,O,국내,BX8807,출발,202609140905,20260914
2026-09-16T12:05:58+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609141037,20260914235905,0000000000000012828186,KE1811,O,국내,,출발,202609141030,20260914
2026-09-16T12:05:58+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609141051,20260914235904,0000000000000012789032,OZ8809,O,국내,BX8809,출발,202609141040,20260914
2026-09-16T12:05:58+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609141051,20260914235906,0000000000000012789032,BX8809,O,국내,BX8809,출발,202609141040,20260914
2026-09-16T12:05:58+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609141209,20260914235904,0000000000000012789452,OZ8811,O,국내,BX8811,출발,202609141140,20260914
