_collected_at,airline,arrAirport,arrAirportEng,arrvAirportCode,codeshare,depAirport,depAirportCode,depAirportEng,estimateddatetime,fgenTime,fid,flightid,io,line,masterflightid,rmkKor,scheduledatetime,searchday
2026-09-23T00:03:08+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609220715,20260922235903,0000000000000012810170,KE1803,O,국내,,출발,202609220700,20260922
2026-09-23T00:03:08+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609220738,20260922235907,0000000000000012788236,OZ8803,O,국내,BX8803,출발,202609220720,20260922
2026-09-23T00:03:08+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609220738,20260922235906,0000000000000012788236,BX8803,O,국내,BX8803,출발,202609220720,20260922
2026-09-23T00:03:08+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609220818,20260922235905,0000000000000012824602,KE1807,O,국내,,출발,202609220805,20260922
2026-09-23T00:03:08+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609220918,20260922235906,0000000000000013131313,BX8807,O,국내,BX8807,출발,202609220905,20260922
2026-09-23T00:03:08+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609220918,20260922235906,0000000000000013131313,OZ8807,O,국내,BX8807,출발,202609220905,20260922
2026-09-23T00:03:08+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609221058,20260922235904,0000000000000012828202,KE1811,O,국내,,출발,202609221030,20260922
2026-09-23T00:03:08+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609221101,20260922235904,0000000000000012789048,BX8809,O,국내,BX8809,출발,202609221040,20260922
2026-09-23T00:03:08+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609221101,20260922235907,0000000000000012789048,OZ8809,O,국내,BX8809,출발,202609221040,20260922
2026-09-23T00:03:08+09:00,트리니티항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609221111,20260922235904,0000000000000013035792,TW923,O,국내,,출발,202609221050,20260922
2026-09-23T00:03:08+09:00,이스타항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609221149,20260922235904,0000000000000013195894,ZE291,O,국내,,출발,202609221120,20260922
2026-09-23T00:03:08+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609221203,20260922235907,0000000000000012789468,OZ8811,O,국내,BX8811,출발,202609221140,20260922
2026-09-23T00:03:08+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609221203,20260922235903,0000000000000012789468,BX8811,O,국내,BX8811,출발,202609221140,20260922
2026-09-23T00:03:08+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609221259,20260922235906,0000000000000012789888,OZ8813,O,국내,BX8813,출발,202609221240,20260922
2026-09-23T00:03:08+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609221259,20260922235905,0000000000000012789888,BX8813,O,국내,BX8813,출발,202609221240,20260922
2026-09-23T00:03:08+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609221429,20260922235903,0000000000000013090345,KE1819,O,국내,,출발,202609221400,20260922
