_collected_at,airline,arrAirport,arrAirportCode,arrAirportEng,arrvAirportCode,codeshare,depAirport,depAirportCode,depAirportEng,estimateddatetime,fgenTime,fid,flightid,io,line,masterflightid,rmkKor,scheduledatetime,searchday
2026-09-19T22:18:31+09:00,이스타항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609180614,20260918235907,0000000000000013143901,ZE988,I,국제,,도착,202609180605,20260918
2026-09-19T22:18:31+09:00,베트남항공,부산/김해,PUS,GIMHAE,,N,나트랑,CXR,NHA TRANG,202609180616,20260918235907,0000000000000012863805,VN434,I,국제,,도착,202609180605,20260918
2026-09-19T22:18:31+09:00,이스타항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609180603,20260918235907,0000000000000013143667,ZE984,I,국제,,도착,202609180610,20260918
2026-09-19T22:18:31+09:00,제주항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609180611,20260918235904,0000000000000012710330,7C6154,I,국제,,도착,202609180610,20260918
2026-09-19T22:18:31+09:00,진에어,부산/김해,PUS,GIMHAE,,N,괌,GUM,GUAM,202609180618,20260918235907,0000000000000012724775,LJ922,I,국제,,도착,202609180615,20260918
2026-09-19T22:18:31+09:00,진에어,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609180609,20260918235904,0000000000000012722246,LJ752,I,국제,,도착,202609180615,20260918
2026-09-19T22:18:31+09:00,이스타항공,부산/김해,PUS,GIMHAE,,N,치앙마이,CNX,CHIANG MAI,202609180626,20260918235906,0000000000000012744481,ZE918,I,국제,,도착,202609180615,20260918
2026-09-19T22:18:31+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,괌,GUM,GUAM,202609180607,20260918235904,0000000000000013172798,BX613,I,국제,,도착,202609180620,20260918
2026-09-19T22:18:31+09:00,트리니티항공,부산/김해,PUS,GIMHAE,,N,홍콩,HKG,HONG KONG,202609180628,20260918235907,0000000000000013115534,TW640,I,국제,,도착,202609180620,20260918
2026-09-19T22:18:31+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,방콕/수완나품,BKK,BANGKOK,202609180641,20260918235907,0000000000000013176527,BX726,I,국제,,도착,202609180620,20260918
2026-09-19T22:18:31+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,나트랑,CXR,NHA TRANG,202609180636,20260918235904,0000000000000013176633,BX782,I,국제,,도착,202609180620,20260918
2026-09-19T22:18:31+09:00,진에어,부산/김해,PUS,GIMHAE,,N,클락필드/클라크필드,CRK,CLARK FIELD,202609180623,20260918235905,0000000000000013157550,LJ066,I,국제,,도착,202609180625,20260918
2026-09-19T22:18:31+09:00,대한항공,부산/김해,PUS,GIMHAE,,N,베이징(서우두)/서우두,PEK,BEIJING CAPITAL,202609180634,20260918235905,0000000000000012857731,KE2062,I,국제,,도착,202609180630,20260918
2026-09-19T22:18:31+09:00,비엣젯항공,부산/김해,PUS,GIMHAE,,N,다낭,DAD,DANANG,202609180652,20260918235907,0000000000000013080366,VJ988,I,국제,,도착,202609180640,20260918
2026-09-19T22:18:31+09:00,싱가포르항공,부산/김해,PUS,GIMHAE,,Y,싱가폴/싱가포르,SIN,SINGAPORE,202609180649,20260918235906,0000000000000013008446,SQ616,I,국제,SQ616,도착,202609180650,20260918
2026-09-19T22:18:31+09:00,에어인디아,부산/김해,PUS,GIMHAE,,Y,싱가폴/싱가포르,SIN,SINGAPORE,202609180649,20260918235905,0000000000000013008446,AI8248,I,국제,SQ616,도착,202609180650,20260918
2026-09-19T22:18:31+09:00,제주항공,부산/김해,PUS,GIMHAE,,N,울란바토르/칭기스칸,UBN,ULAANBAATAR,202609180646,20260918235906,0000000000000013174211,7C5258,I,국제,,도착,202609180650,20260918
2026-09-19T22:18:31+09:00,아시아나항공,부산/김해,PUS,GIMHAE,,Y,싱가폴/싱가포르,SIN,SINGAPORE,202609180649,20260918235905,0000000000000013008446,OZ6786,I,국제,SQ616,도착,202609180650,20260918
2026-09-19T22:18:31+09:00,버진오스트레일리아항공,부산/김해,PUS,GIMHAE,,Y,싱가폴/싱가포르,SIN,SINGAPORE,202609180649,20260918235905,0000000000000013008446,VA5846,I,국제,SQ616,도착,202609180650,20260918
2026-09-19T22:18:31+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,세부,CEB,CEBU,202609180644,20260918235906,0000000000000013194406,BX712,I,국제,,도착,202609180655,20260918
2026-09-19T22:18:31+09:00,이스타항공,부산/김해,PUS,GIMHAE,,N,푸꼭(푸국)/푸꾸옥,PQC,PHU QUOC AIRPORT,202609180639,20260918235904,0000000000000013176009,ZE982,I,국제,,도착,202609180655,20260918
