_collected_at,airline,arrAirport,arrAirportCode,arrAirportEng,arrvAirportCode,codeshare,depAirport,depAirportCode,depAirportEng,estimateddatetime,fgenTime,fid,flightid,io,line,masterflightid,rmkKor,scheduledatetime,searchday
2026-09-16T12:05:58+09:00,베트남항공,부산/김해,PUS,GIMHAE,,N,나트랑,CXR,NHA TRANG,202609140618,20260914235906,0000000000000013171972,VN434,I,국제,,도착,202609140605,20260914
2026-09-16T12:05:58+09:00,이스타항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609140607,20260914235907,0000000000000013143836,ZE988,I,국제,,도착,202609140605,20260914
2026-09-16T12:05:58+09:00,제주항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609140609,20260914235906,0000000000000012710326,7C6154,I,국제,,도착,202609140610,20260914
2026-09-16T12:05:58+09:00,이스타항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609140605,20260914235907,0000000000000013143663,ZE984,I,국제,,도착,202609140610,20260914
2026-09-16T12:05:58+09:00,이스타항공,부산/김해,PUS,GIMHAE,,N,치앙마이,CNX,CHIANG MAI,202609140614,20260914235905,0000000000000013175164,ZE918,I,국제,,도착,202609140615,20260914
2026-09-16T12:05:58+09:00,진에어,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609140602,20260914235906,0000000000000013176706,LJ752,I,국제,,도착,202609140615,20260914
2026-09-16T12:05:58+09:00,진에어,부산/김해,PUS,GIMHAE,,N,괌,GUM,GUAM,202609140616,20260914235907,0000000000000012724773,LJ922,I,국제,,도착,202609140615,20260914
2026-09-16T12:05:58+09:00,트리니티항공,부산/김해,PUS,GIMHAE,,N,홍콩,HKG,HONG KONG,202609140611,20260914235907,0000000000000013115530,TW640,I,국제,,도착,202609140620,20260914
2026-09-16T12:05:58+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,괌,GUM,GUAM,202609140803,20260914235906,0000000000000013164238,BX613,I,국제,,도착,202609140620,20260914
2026-09-16T12:05:58+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,방콕/수완나품,BKK,BANGKOK,202609140644,20260914235906,0000000000000013176523,BX726,I,국제,,도착,202609140620,20260914
2026-09-16T12:05:58+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,나트랑,CXR,NHA TRANG,202609140629,20260914235906,0000000000000013176630,BX782,I,국제,,도착,202609140620,20260914
2026-09-16T12:05:58+09:00,진에어,부산/김해,PUS,GIMHAE,,N,클락필드/클라크필드,CRK,CLARK FIELD,202609140621,20260914235904,0000000000000013157548,LJ066,I,국제,,도착,202609140625,20260914
2026-09-16T12:05:58+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,마카오,MFM,MACAU,202609140624,20260914235906,0000000000000013119291,BX382,I,국제,,도착,202609140630,20260914
2026-09-16T12:05:58+09:00,비엣젯항공,부산/김해,PUS,GIMHAE,,N,푸꼭(푸국)/푸꾸옥,PQC,PHU QUOC AIRPORT,202609140627,20260914235905,0000000000000013170164,VJ968,I,국제,,도착,202609140640,20260914
2026-09-16T12:05:58+09:00,제주항공,부산/김해,PUS,GIMHAE,,N,상하이/푸동,PVG,PUDONG,202609140634,20260914235906,0000000000000012708132,7C8352,I,국제,,도착,202609140640,20260914
2026-09-16T12:05:58+09:00,싱가포르항공,부산/김해,PUS,GIMHAE,,Y,싱가폴/싱가포르,SIN,SINGAPORE,202609140637,20260914235907,0000000000000013008444,SQ616,I,국제,SQ616,도착,202609140650,20260914
