_collected_at,airline,arrAirport,arrAirportEng,arrvAirportCode,codeshare,depAirport,depAirportCode,depAirportEng,estimateddatetime,fgenTime,fid,flightid,io,line,masterflightid,rmkKor,scheduledatetime,searchday
2026-09-21T14:10:35+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609200707,20260920235905,0000000000000012810166,KE1803,O,국내,,출발,202609200700,20260920
2026-09-21T14:10:35+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609200734,20260920235904,0000000000000012788234,BX8803,O,국내,BX8803,출발,202609200720,20260920
2026-09-21T14:10:35+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609200734,20260920235907,0000000000000012788234,OZ8803,O,국내,BX8803,출발,202609200720,20260920
2026-09-21T14:10:35+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609200815,20260920235906,0000000000000012824598,KE1807,O,국내,,출발,202609200805,20260920
2026-09-21T14:10:35+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609200917,20260920235905,0000000000000013131309,BX8807,O,국내,BX8807,출발,202609200905,20260920
2026-09-21T14:10:35+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609200917,20260920235907,0000000000000013131309,OZ8807,O,국내,BX8807,출발,202609200905,20260920
2026-09-21T14:10:35+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609201043,20260920235907,0000000000000012828198,KE1811,O,국내,,출발,202609201030,20260920
2026-09-21T14:10:35+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609201059,20260920235907,0000000000000012789044,OZ8809,O,국내,BX8809,출발,202609201040,20260920
2026-09-21T14:10:35+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609201059,20260920235905,0000000000000012789044,BX8809,O,국내,BX8809,출발,202609201040,20260920
2026-09-21T14:10:35+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609201150,20260920235905,0000000000000012789464,BX8811,O,국내,BX8811,출발,202609201140,20260920
2026-09-21T14:10:35+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609201150,20260920235907,0000000000000012789464,OZ8811,O,국내,BX8811,출발,202609201140,20260920
2026-09-21T14:10:35+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609201254,20260920235907,0000000000000012789884,OZ8813,O,국내,BX8813,출발,202609201240,20260920
2026-09-21T14:10:35+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609201254,20260920235905,0000000000000012789884,BX8813,O,국내,BX8813,출발,202609201240,20260920
2026-09-21T14:10:35+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609201411,20260920235906,0000000000000013090341,KE1819,O,국내,,출발,202609201400,20260920
2026-09-21T14:10:35+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609201435,20260920235907,0000000000000013121680,OZ8817,O,국내,BX8817,출발,202609201420,20260920
2026-09-21T14:10:35+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609201435,20260920235905,0000000000000013121680,BX8817,O,국내,BX8817,출발,202609201420,20260920
2026-09-21T14:10:35+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609201532,20260920235907,0000000000000013171182,OZ8819,O,국내,BX8819,출발,202609201520,20260920
2026-09-21T14:10:35+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609201532,20260920235904,0000000000000013171182,BX8819,O,국내,BX8819,출발,202609201520,20260920
2026-09-21T14:10:35+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609201703,20260920235907,0000000000000013131541,OZ8821,O,국내,BX8821,출발,202609201640,20260920
2026-09-21T14:10:35+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609201703,20260920235905,0000000000000013131541,BX8821,O,국내,BX8821,출발,202609201640,20260920
2026-09-21T14:10:35+09:00,대한항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609201751,20260920235905,0000000000000013090783,KE1827,O,국내,,출발,202609201735,20260920
2026-09-21T14:10:35+09:00,에어부산,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609201851,20260920235906,0000000000000013170940,BX8823,O,국내,BX8823,출발,202609201840,20260920
2026-09-21T14:10:35+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609201851,20260920235907,0000000000000013170940,OZ8823,O,국내,BX8823,출발,202609201840,20260920
2026-09-21T14:10:35+09:00,트리니티항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609201905,20260920235905,0000000000000013114817,TW927,O,국내,,출발,202609201850,20260920
2026-09-21T14:10:35+09:00,제주항공,부산/김해,GIMHAE,PUS,N,서울/김포,GMP,GIMPO,202609202004,20260920235904,0000000000000013139292,7C907,O,국내,,출발,202609201955,20260920
2026-09-21T14:10:35+09:00,아시아나항공,부산/김해,GIMHAE,PUS,Y,서울/김포,GMP,GIMPO,202609202024,20260920235907,0000000000000013131773,OZ8827,O,국내,BX8827,출발,202609202000,20260920
