_collected_at,airline,arrAirport,arrAirportCode,arrAirportEng,arrvAirportCode,codeshare,depAirport,depAirportCode,depAirportEng,estimateddatetime,fgenTime,fid,flightid,io,line,masterflightid,rmkKor,scheduledatetime,searchday
2026-09-13T22:31:58+09:00,이스타항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609120601,20260912235904,0000000000000013143899,ZE988,I,국제,,도착,202609120605,20260912
2026-09-13T22:31:58+09:00,베트남항공,부산/김해,PUS,GIMHAE,,N,나트랑,CXR,NHA TRANG,202609120610,20260912235905,0000000000000013171968,VN434,I,국제,,도착,202609120605,20260912
2026-09-13T22:31:58+09:00,이스타항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609120606,20260912235907,0000000000000013143661,ZE984,I,국제,,도착,202609120610,20260912
2026-09-13T22:31:58+09:00,제주항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609120608,20260912235905,0000000000000012710324,7C6154,I,국제,,도착,202609120610,20260912
2026-09-13T22:31:58+09:00,진에어,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609120604,20260912235907,0000000000000012722240,LJ752,I,국제,,도착,202609120615,20260912
2026-09-13T22:31:58+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,나트랑,CXR,NHA TRANG,202609120752,20260912235907,0000000000000013120267,BX782,I,국제,,도착,202609120620,20260912
2026-09-13T22:31:58+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,방콕/수완나품,BKK,BANGKOK,202609120634,20260912235905,0000000000000013165210,BX726,I,국제,,도착,202609120620,20260912
2026-09-13T22:31:58+09:00,트리니티항공,부산/김해,PUS,GIMHAE,,N,홍콩,HKG,HONG KONG,202609120627,20260912235904,0000000000000013115528,TW640,I,국제,,도착,202609120620,20260912
2026-09-13T22:31:58+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,울란바토르/칭기스칸,UBN,ULAANBAATAR,202609120619,20260912235906,0000000000000013163889,BX412,I,국제,,도착,202609120620,20260912
2026-09-13T22:31:58+09:00,대한항공,부산/김해,PUS,GIMHAE,,N,베이징(서우두)/서우두,PEK,BEIJING CAPITAL,202609120624,20260912235906,0000000000000012857726,KE2062,I,국제,,도착,202609120630,20260912
2026-09-13T22:31:58+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,마카오,MFM,MACAU,202609120613,20260912235905,0000000000000013119290,BX382,I,국제,,도착,202609120630,20260912
2026-09-13T22:31:58+09:00,진에어,부산/김해,PUS,GIMHAE,,N,울란바토르/칭기스칸,UBN,ULAANBAATAR,202609120616,20260912235905,0000000000000013175463,LJ782,I,국제,,도착,202609120630,20260912
2026-09-13T22:31:58+09:00,싱가포르항공,부산/김해,PUS,GIMHAE,,Y,싱가폴/싱가포르,SIN,SINGAPORE,202609120659,20260912235905,0000000000000013008671,SQ616,I,국제,SQ616,도착,202609120635,20260912
