run_at,subset,n_train,model,n_test,MAE,RMSE,R2,실제지연편수,적중률,오경보율
2026-09-19T22:19:33,국내선(출발지연 보유),416,XGBoost 이륙후,104,4.050134616259199,5.9268239442489055,0.8628281528960293,13.0,0.9230769230769232,0.0
2026-09-21T14:24:15,전체,1660,베이스라인(중앙값 -9분),415,11.255421686746988,15.927622441108593,-0.0043497610131306,22.0,0.0,
2026-09-21T14:24:15,전체,1660,XGBoost 사전예측,415,9.35620703017227,12.507968515548232,0.3806207745006763,22.0,0.2272727272727272,0.1666666666666666
2026-09-21T14:24:20,국내선(출발지연 보유),493,베이스라인(중앙값 -7분),124,6.120967741935484,8.085730162333178,-0.0037152525043757,2.0,0.0,
2026-09-21T14:24:20,국내선(출발지연 보유),493,XGBoost 사전예측,124,9.910698338742218,12.220908160360318,-1.2928677018199553,2.0,0.0,1.0
2026-09-21T14:24:20,국내선(출발지연 보유),493,XGBoost 이륙후,124,2.759665470029558,3.5536842974505625,0.8061214680953401,2.0,0.5,0.5
2026-09-22T23:54:15,전체,1787,베이스라인(중앙값 -9분),447,11.970917225950783,17.346256583184292,-0.0029286772723462,35.0,0.0,
2026-09-22T23:54:15,전체,1787,XGBoost 사전예측,447,10.050833920521091,13.21137323173386,0.4182258222095304,35.0,0.3428571428571428,0.4285714285714286
2026-09-22T23:54:21,국내선(출발지연 보유),531,베이스라인(중앙값 -6분),133,7.112781954887218,9.612804743548784,-0.009189435483174,6.0,0.0,
2026-09-22T23:54:21,국내선(출발지연 보유),531,XGBoost 사전예측,133,9.77456336569293,12.316751925773431,-0.6567799959130718,6.0,0.1666666666666666,0.75
2026-09-22T23:54:21,국내선(출발지연 보유),531,XGBoost 이륙후,133,3.064218284464196,4.0019287337169445,0.8250914036615273,6.0,1.0,0.1428571428571429
2026-09-23T00:04:52,전체,1908,베이스라인(중앙값 -9분),478,13.564853556485357,26.081141490022905,-0.0060403299195792,44.0,0.0,
2026-09-23T00:04:52,전체,1908,XGBoost 사전예측,478,10.450370155461911,20.84978172247544,0.3570677276672738,44.0,0.3409090909090909,0.5161290322580645
2026-09-23T00:04:56,국내선(출발지연 보유),569,베이스라인(중앙값 -7분),143,8.874125874125873,14.660970498028291,-0.0825686243119097,12.0,0.0,
2026-09-23T00:04:56,국내선(출발지연 보유),569,XGBoost 사전예측,143,9.750088555308489,14.019002052879838,0.010161834635219025,12.0,0.0,1.0
2026-09-23T00:04:56,국내선(출발지연 보유),569,XGBoost 이륙후,143,3.4114222804253753,4.463428289854854,0.8996616119537854,12.0,0.8333333333333334,0.16666666666666663
